"Term [en]","Description [en]","Part of Speech [en]","Term [ja]","Description [ja]","Part of Speech [ja]"
"The Golden Dragon is incomparable to previous enemies in terms of strength, so please, courageous Arisen, make thorough preparations and face the decisive battle.",,,"黄金竜はこれまでの敵とは比べ物にならない
強さだ、勇気ある覚者も充分な準備を整えて
決戦に臨んでくれ",,
Quality,,,影の品質,,
"Farana Plains Trial: The Honor Guards",,," ファーラナ平原　試練：栄誉の守り番",,
"The Golden Key ",,," 黄金の鍵",,
"Cafe Coin [Ten]",,,カフェコイン【拾】,,
"Farana Plains Trial: The Mystery of the Red Light",,," ファーラナ平原　試練：赤き妖光の謎",,
"The Golden Palace",,,黄金宮,,
"Cafe Coin [Three]",,,カフェコイン【参】,,
"Item Limits",,,アイテムの所持制限,,
"Farana Plains Trial: The Old Ways",,," ファーラナ平原　試練：過ぎし日の教えを",,
"Cafe Coin [Two]",,,カフェコイン【弐】,,
"Quality Attack Upgrade Rock",,,良質攻錬石,,
"Farana Plains Trial: The Shadow on the opposite Shore",,," ファーラナ平原　試練：対岸に揺らぐ影",,
"Item Move ←",,,"項目移動 ←",,
Cafeteria,,,食堂,,
"The Gourmand's Mushroom Hunt ",,," 美食家のキノコ狩り",,
"Farana Plains Wharf",,,"ファーラナ平原 船着き場",,
"Quality Defense Upgrade Rock",,,上質護錬石,,
"Item Move ↑",,,"項目移動 ↑",,
"The Great Alchemist",,," 偉大なる錬金術師",,
Cain,,,カイン,,
"Item Move →",,,"項目移動 →",,
"Quality Gala Extract",,,高級ガラエキス,,
"Quality Gala Mushroom",,,上質ガラキノコ,,
"Calamity Caller",,,カラミティコーラ,,
"Item Move ↓",,,"項目移動 ↓",,
"Farana Plains World Quests",,,ファーラナ平原ワールドクエスト,,
"The Greenery Falls, Dancing",,," 緑に舞い散るは――",,
Calibrate,,,配置変更,,
"Item Name",,,アイテム名,,
"Farana Ruins",,,ファーラナ遺跡,,
"Queen's Corset",,,王妃のコルセット,,
"The Grieving Underling ",,," 嘆きの下っぱ冒険者",,
"The Guard's Concern",,," 警備が心配だ！",,
Calibration,,,ボタンの配置,,
Quellenkraft,,,クヴェーレンクラフト,,
"Item Post",,,アイテムポスト,,
"Calibration is complete.",,,設定が完了しました,,
"The Guardian of Green Leaves ",,," 蒼葉の守人",,
"Item Rank",,,アイテムランク,,
"Farana Ruins Depths",,,ファーラナ遺跡　深部,,
"Quest ""<VAL>"" has expired.",,,＜<VAL>＞の配信期間が終了したためクエスト破棄されました,,
"Quest Board",,,クエストボード,,
"The Hard Truth ",,," 言いにくいのですが――",,
"Call for Extermination ",,," 討伐協力を頼む",,
"The Heart of a Recruit",,,新兵の心,,
"Call forth a magickal orb that acts as a turret and when hit
by Blast Bit, will generate additional Blast Bits from itself.
<COL ffdc78>LV UP: Increases duration of the magickal orb.
LV.6: Increases the damage of the magickal orb, and the amount
that are placed (1→2).</COL>",,,"自身がブラストビットで放った魔法球と
同数の魔法球を放つ砲台を一定時間生成する
<COL ffdc78>LV UP毎に魔法砲台の出現時間延長
LV.６で魔法球の威力上昇／魔法砲台増加（１→２）</COL>",,
"Item Rank <VAL> or more (Current IR. <VAL>)",,,"アイテムランクが<VAL>以上 （現在のIR.<VAL>）",,
"Farana Ruins: Dangerous Area",,,ファーラナ遺跡　危険区域,,
"Quest Clear",,,クエスト成功時,,
Called,,,呼び寄せられた,,
"Item Rank of <QCND 0> or more (average IR)",,,"装備のアイテムランクが<QCND 0>以上（平均IR）",,
"Quest Helm",,,探求のヘルム,,
"The Heidell Checkpoint has been opened.",,,ハイデル関所が開放されました,,
"The Hidden Land",,," 他地域への侵入阻止",,
Callositas,,,カロシタス,,
"Farewell Hungry",,," さらば腹ペコ",,
"Quest Hint",,,クエストヒント,,
"Item Restoration",,,アイテム復元,,
Farid,,,ファリド,,
"Calm Evasion",,,鎮逸,,
"Item Search",,,商品検索,,
"The High Scepter's Heir",,," ハイセプターを継ぎし者",,
"Quest Information",,,クエスト情報,,
"The House of Steam ",,," 湯煙の館",,
"Calm Robe",,,カームローブ,,
Farmer,,,農夫,,
"Item Shop",,,道具屋,,
"Quest Limits",,,クエストの受注制限,,
"Item Shop / Job Master: Hunter",,,道具屋・ジョブマスター：ハンター,,
"Farsighted Eye",,,ファーサイテッドアイ,,
"Calm down, everything's fine now",,,落ち着いて、もう大丈夫よ,,
"The Howling Front",,,遠吠えの前線,,
"Quest List",,,クエストリスト,,
"Farthest Bank",,,最果ての岸,,
"Item appraised. Is this OK?
Appraised Item: <VAL> × <VAL>
Cost: <VAL GOLD>
It seems to be one of the following items.",,,"鑑定します。よろしいですか？
　鑑定アイテム ： <VAL> × <VAL>
　費用　　　　 ： <VAL GOLD>
以下のいずれかのアイテムのようです",,
"Calming Vision",,,乖視,,
"The Hunter excels at shooting with a bow, being a master of long-range attacks. They particularly demonstrate their skills by aiming for weak points when facing airborne or large enemies.
<Basic Controls>
- Hold <KC HOLD_BOW> to ready the bow.
- While aiming, press <KC SHOOT> to release an arrow.
- Press <KC RELOAD> to reload arrows.
- Press <KC ATTACK1> to perform a front kick.",,,"ハンターは弓による射撃を得意とする
遠隔攻撃の名手です。空の敵、大型敵相手の
弱点狙撃で特に真価を発揮します
＜基本操作＞
　【<KC HOLD_BOW>】弓構え
　構えながら【<KC SHOOT>】弓射ち
　【<KC RELOAD>】矢の装填
　【<KC ATTACK1>】前蹴り",,
"Calmly Cling",,,カームリィクリング,,
"Item appraised. Is this OK?
Appraised Item: <VAL> × <VAL>
　<COL ffdc78>Results: <VAL> × <VAL></COL>",,,"鑑定しました。以下の内容でよろしいですか？
　鑑定アイテム ： <VAL> × <VAL>
　<COL ffdc78>鑑定結果　　 ： <VAL> × <VAL></COL>",,
Calmness,,,泰然,,
"Item bag is full.",,,アイテムバッグがいっぱいです,,
"The Hunter's bow is known for its ability to accurately target specific parts of the enemy even from a distance.
The power of the bow is also influenced by the distance between the Hunter and the enemy, so it is important to avoid unnecessary closeness and maintain the optimal distance for shooting.",,,"ハンターの弓は、遠方から的確に敵の
特定部位を狙えるのが特徴です
弓の威力は敵との距離も影響するため、
むやみな接近は避け、優位な距離
射撃の《最適距離》を保ち続けるのが
基本の立ち回りになります",,
"Quest Log",,,クエストログ,,
"Farzaneh Guard",,,ファルザネハガード,,
"Item failed to process.",,,アイテムの処理に失敗しました,,
"Quest Recommended Level",,,クエスト推奨レベル,,
"Fashionable Color Pioneer",,,流行色パイオニア,,
"Cameo Wrist Ring",,,カメオリストリング,,
"The Incapable Courier",,," 運べぬ運び屋",,
"Quest Reward",,,クエスト報酬,,
Fat,,,肥満度,,
"Camera Control",,,カメラ操作,,
"Item found!　I'll pick it up!",,,アイテム発見！　拾っておきます！,,
"The Infection: Introduction",,,"侵食の大災 序説　到達",,
"Camera Correction",,,アクション時のカメラ補正,,
"Quest priority can be set in the [<KC UI_GAME_MENU>] Game Menu,
<COL ffdc78>""Quest Log""</COL> inside the <COL ffdc78>""Quest""</COL>
main menu.

<COL ffdc78>You can set up to 3 ""Priority Quests"".</COL>

If you are progressing through multiple quests at
the same time you should switch quest priority
as needed, so you can easily see the information
that you need.",,,"優先設定と解除は、【<KC UI_GAME_MENU>】ゲームメニュー
《クエスト》の<COL ffdc78>《クエストログ》</COL>から行えます

<COL ffdc78>優先クエストは最大３つまで設定できます</COL>

複数のクエストを同時に進めている場合も
うまく優先の切替えをおこない、
必要な情報をすぐ見られるようにしましょう",,
"The Infection: Section II",,,"侵食の大災 第二節　到達",,
"Fata Morgana",,,ファルタモルガナ,,
"Item found.",,,アイテムを発見しました,,
"Quest priority can be set in the [<KC UI_GAME_MENU>] Game Menu,
<COL ffdc78>""Quest Log""</COL> inside the <COL ffdc78>""Quest""</COL>
main menu.
<COL ffdc78>You can set up to 3 ""Priority Quests"".</COL>

If you are progressing through multiple quests at
the same time you should switch quest priority
as needed, so you can easily see the information
that you need.",,,"優先設定と解除は、【<KC UI_GAME_MENU>】ゲームメニュー
《クエスト》の<COL ffdc78>《クエストログ》</COL>から行えます
<COL ffdc78>優先クエストは最大３つまで設定できます</COL>
複数のクエストを同時に進めている場合も
うまく優先の切替えをおこない、
必要な情報をすぐ見られるようにしましょう",,
"Fatal Diagram",,,フェイタルダイアグラム,,
"Item is not selected.
Are you sure you want to cancel delivery?",,,"アイテムが選択されていません
アイテムの納品をキャンセルします
よろしいですか？",,
"The Infection: Section III",,,"侵食の大災 第三節　到達",,
"Camera Distance when Aiming Bow",,,弓構え中のカメラ設定,,
"Item safety setting disabled.",,,アイテムのセーフティ設定を解除しました,,
"The Infection: Section IV",,,"侵食の大災 第四節　到達",,
"Quest rewards have been placed into your storage box.",,,クエスト報酬が報酬ボックスに入りました,,
"Fates' Glance",,,フェイタスグランス,,
"Camera Distance when Casting",,,詠唱中のカメラ設定,,
"Father's Amulet",,,父のお守り,,
"Quest terminated due to movement outside the area.",,,諜報活動領域外へ移動したため、クエストを終了しました,,
"Item safety setting enabled.",,,アイテムをセーフティ設定しました,,
"Camera Reset",,,カメラリセット,,
"The Information that is displayed can be filtered
with [<KC UI_LB>/<KC UI_RB>] this will switch channels.
Use (+) to add a channel.

In the input field press [<KC UI_RT>] to enlarge the log
Use [<KC KEY_UP>/<KC KEY_DOWN>] to scroll through it.",,,"表示させる情報はフィルタリングできます
　【<KC UI_LB>／<KC UI_RB>】でチャンネル切替
　（＋）からチャンネル追加

　入力欄などで【<KC UI_RT>】を押すとログ拡大
　【<KC KEY_UP>／<KC KEY_DOWN>】でログ確認

<COL ffdc78>拡大した状態であれば、発言者を直接選んで
話しかけたり、プロフィール確認やパーティー要請、
フレンド申請できます</COL>",,
"Camera Speed",,,右スティックのカメラ回転速度,,
Favorites,,,マイ拠点,,
"Quester Daggers",,,クエスターダガー,,
"Items Sealed",,,アイテム封印,,
"The Information that is displayed can be filtered
with [<KC UI_LB>/<KC UI_RB>] this will switch channels.
Use (+) to add a channel.
In the input field press [<KC UI_RT>] to enlarge the log
Use [<KC KEY_UP>/<KC KEY_DOWN>] to scroll through it.",,,"表示させる情報はフィルタリングできます
　【<KC UI_LB>／<KC UI_RB>】でチャンネル切替
　（＋）からチャンネル追加
　入力欄などで【<KC UI_RT>】を押すとログ拡大
　【<KC KEY_UP>／<KC KEY_DOWN>】でログ確認
<COL ffdc78>拡大した状態であれば、発言者を直接選んで
話しかけたり、プロフィール確認やパーティー要請、
フレンド申請できます</COL>",,
"The Inias Monster",,," イニアスの怪物",,
"Fear Destruction",,,フィアーデストラクション,,
"Questing Banded",,,探求のバンデッド,,
"Items found inside the Bitterblack Maze
can be brought back to Lestania by talking to
Lyka and selecting ""Bitterblack Item Takeaway"".
<COL ffdc78>This will consume either ""Gold Dragon Marks"" or
""Gold Gemstones"".</COL>

　※Items brought back from Bitterblack Maze
　　will not be able to be used inside.

Explore Bitterblack Maze and bring back
all kinds of items!",,,"黒呪の迷宮で手に入れたアイテムは
リュカに話しかけ、<COL ffdc78>＜黒呪アイテムの持ち帰り＞</COL>から
選択することでレスタニアに持ち帰ることができます
その際、<COL ffdc78>《金竜の印》や《黄金石》を消費します</COL>

　※持ち帰ることにしたアイテムは
　　黒呪の迷宮では使用できなくなります

黒呪の迷宮を探索して、様々なアイテムを
レスタニアに持ち帰りましょう！",,
