最早、話すことなどない,There is nothing to say anymore.,
"おお！　お前に連絡だ！
ついに奴らの本拠地、《バートランド平原北部》に
攻め込む手はずが整ったぞ","Oh! I've got news for you!
We have finally made arrangements to invade their stronghold, the Northern Betland Plains.",
"バートランド北部へと繋がる
山道を塞いでいた落石を、ようやく除去できたんだ",We were finally able to remove the rocks that were blocking the mountain road that leads to northern Betland.,
"ま、そこが通れるようになったのはお互い様で
これでオークどもも、魔獣を使って山側から
侵入する必要なく、そのままこっちへ来れる
ようになったわけだが――","Well, we both made it possible to pass through there. 
Now those orcs can come over here without needing to invade from the mountain side using magic beasts.",
"ともあれ、隊を組んで奴らの居城
《ガルドノック砦》に乗り込む日も近いだろうな！","Regardless, the day is approaching when we will go together and infiltrate their stronghold, Gardnox Fortress!",
よう、砦の任務は順調かい？,"Hey, how's the mission at the fortress going?",
"そ、そうだ！！
良い所にきたな、お前にも言っておこう！
《禊の神殿》について新しい情報が入ってな","Oh, right!! 
You've come to a good place, so I'll tell you too! 
There's new information about the Temple of Purification.",
"神殿内部に、ずっと入れなかった
《不浄の地下水路》って区画があるんだ
もとは神殿に引いた湖の水を浄化する
区画だったんだが――","Inside the temple, there is a section called the ""Foul Water Channel"" that I have never been able to enter. 
It used to be a section for purifying the water from the lake that was drawn into the temple.",
"昔のエリアマスター、禊の神官長が
封鎖して立入禁止にしたんだよ
何があったか知らないけどな","The former area master, the priest in charge of purification, blocked off the area and prohibited entry. 
I don't know what happened though.",
"それがごく最近、その封鎖が
解けているのが発見されたんだ","Very recently, that blockade was found to have been broken.",
"それに気づいた定期討伐の隊士は
妙な威圧感と寒気に襲われて
結局中まで入れなかったらしい",The squad members who noticed it were ultimately unable to enter due to a strange sense of intimidation and coldness.,
"もしついでがあったら、確認しといてくれよ
オークはともかく、俺はこの手の話
苦手なんだよな――","If you happen to have some time, please check it for me.
As for orcs, I'm not really good with that kind of thing you know.",
"厳重警戒情報だ！
セラー湖の浜辺、《船墓場》で妙に強力な
ブルーニュートが現れたらしい","This is a serious warning!
It seems that a strangely powerful Blue Newt has appeared on the shore of Lake Cera, known as the ""Ship Graveyard"".",
"普通のヤツと区別して《レイクニュート》
と呼ぶことにしたんだが、どうやら
脅威はそれだけじゃないようでな","I decided to call it ""Lake Newt"" to distinguish it from a regular one, but it seems that the threat is not just that.",
"ヤツらのいる付近で、巨大な影と水面を
横切るヒレを見たって隊士もいるんだ","Near where they are, there are some members of the squad who have seen a giant shadow and a fin cutting through the water's surface.",
"セラー湖の怪物――
ヒレ以外の情報はなく、その報告をうけ
確認に行った奴も正体を掴んでいない","The Monster of Lake Cera-- 
Aside from its fins, there is no other information, and even those who went to confirm it have not grasped its true nature.",
"お前も十分注意しろよ
相当強力な魔物がいるに違いない","You be very careful too.
There must be some pretty powerful demons in there.",
"いやー、参った参った
まさかお前がここまですごいとはなぁ――
副隊長がベタ褒めするのもしょうがないか","Well, I'm impressed, I'm impressed. I didn't expect you to be this amazing. 
I guess even the Vice-Captain's over-the-top praise is understandable.",
"正直、お前がいなかったらこの砦は
オークに落とされてたかもしれん
俺も他のヤツも、それは解ってるツモリさ","Honestly, if you weren't here, this fortress might have been taken down by Orcs. 
Both me and the others know that.",
"さ、今度の特別報償だ
特級の支給を受けられるようしておいたぞ
胸を張って受け取れよ！","Well, this time it's a special reward.
I made sure you can receive a first-class payment.
Receive it with pride!",
これからもよろしくな！,Thank you for your continued support!,
"お前に頼みたい任務があるんだ
今回は、特に重要な任務だ","I have a mission I need you to do for me.
It's a particularly important mission this time.",
"もしかしたら、ついに奴らオークの拠点
モゴックの腹心が潜んでいるらしい
《戦鬼の影穴》を潰せるかもしれん","Maybe we can finally destroy the Orc stronghold where they say Mogok's henchmen lurk, ""War Demons' Hideout"".",
"すでに別の隊士が怪しい場所を
調べにいってるんだが、まだ戻らない
もしかしたら感づかれて
すでに殺されている可能性もある","Another soldier has already gone to investigate a suspicious location, but they haven't returned yet. 
However, they might have been noticed and possibly killed already.",
"そこで、お前にも危険を覚悟で
二次調査をしてもらいたいんだ","Therefore, I would like you to conduct a secondary investigation, being prepared for danger.",
"この調査、なるはやで頼めないか？
準備ができたらまた声を掛けてくれ","Can you ask for this survey as soon as possible?
Call me again when you're ready.",
"俺は砦の庶務全般を担当してる
ま、要するに副隊長の小間使いだよ","I'm in charge of all the general affairs of the fort.
Well, in short, I'm the deputy commander's lackey.",
"体を鍛えて鍛えて、鍛えまくって！！
そのうち副隊長を振り向かせてやるのさ！","I'm going to work out, work out, work out!
One of these days I'm going to turn the vice captain around!",
あ、とるなよ！　それ俺のだから！,"Ah, don't take that! It's mine!",
